ppid,trial_num_in_block,time,block_num,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,order
d1-007,13,post,5,1323.6309663537013,265,7811.4151092214515,-6316.475029360636,85,445,second
d1-007,13,pre,2,1253.4887606161722,285,7172.79633055055,-5355.183492980483,105,395,pre
d1-007,14,post,5,1323.9289232907815,265,7265.879259312604,-5288.112632061439,80,405,second
d1-007,14,pre,2,1212.4024457567307,400,5351.551086389221,-5451.2912295851365,195,525,pre
d1-007,15,post,5,1374.7240432998797,225,8965.692168055504,-5273.2402058259395,95,385,second
d1-007,15,pre,2,1299.093792897555,300,7423.627028822753,-4942.727794296198,155,415,pre
d1-007,16,post,5,1432.4927594890896,230,9131.90278484676,-5228.999430048534,120,365,second
d1-007,16,pre,2,1252.793593446618,275,7235.315144522734,-5146.102525148173,95,395,pre
d1-007,17,post,5,1344.8694606668714,285,7035.351664158879,-5778.50270195117,90,370,second
d1-007,17,pre,2,1277.4585307130883,300,6279.153495505185,-4225.41818823527,155,455,pre
d1-007,18,post,5,1501.1909931789567,255,7959.889305013484,-6231.929818357168,105,355,second
d1-007,18,pre,2,1250.9097350586608,315,6369.944466554218,-5174.099558139685,170,415,pre
d1-008,1,post,5,732.4680117016571,345,3369.5976219396857,-1638.5501208191195,115,445,second
d1-008,1,pre,2,642.8937227373866,250,3359.392803996169,-2667.3789747464584,95,620,pre
d1-008,2,post,5,609.6437012192739,395,3290.2133499296933,-1235.201979253232,75,675,second
d1-008,2,pre,2,873.6068596237492,335,3995.6382983456892,-2465.696860911371,55,530,pre
d1-008,3,post,5,611.6897620887548,400,2289.419275701058,-1440.4143997435788,5,590,second
d1-008,3,pre,2,847.7483273390478,360,5158.878711191219,-2449.204289945251,65,495,pre
d1-008,4,post,5,610.664007991673,450,1647.5097544018142,-1472.5243523499594,295,840,second
d1-008,4,pre,2,925.5564565249907,355,3879.7511525706786,-3416.0076371640484,185,555,pre
d1-008,5,post,5,674.8167864135671,445,2425.5995289786406,-1856.847024129259,135,595,second
d1-008,5,pre,2,944.702882094359,360,3711.561362050823,-2948.623987513368,145,490,pre
d1-008,6,post,5,716.1444948013659,390,2962.9674359319433,-1957.2539815927132,100,580,second
d1-008,6,pre,2,876.0597633926025,370,4097.801178962347,-2502.425603413227,65,490,pre
d1-008,7,post,5,695.3847748364802,370,2717.5025444023895,-1452.1373510712415,170,610,second
d1-008,7,pre,2,802.9795040347343,335,5457.56781374293,-2126.260002172772,85,490,pre
d1-008,8,post,5,670.7133578393612,431,2351.6447724979494,-2075.334672913099,156,711,second
