experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-006,2,49,3,13,2561.14,2567.291,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T049.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T049.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T049.csv
3_avatartooluse,d3-006,2,50,3,14,2572.934,2580.438,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T050.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T050.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T050.csv
3_avatartooluse,d3-006,2,51,3,15,2583.396,2588.822,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T051.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T051.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T051.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T051.csv
3_avatartooluse,d3-006,2,52,3,16,2591.781,2597.596,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T052.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T052.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T052.csv
3_avatartooluse,d3-006,2,53,3,17,2600.554,2605.464,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T053.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T053.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T053.csv
3_avatartooluse,d3-006,2,54,3,18,2608.418,2613.632,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T054.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T054.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T054.csv
3_avatartooluse,d3-006,2,55,3,19,2616.592,2623.117,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T055.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T055.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T055.csv
3_avatartooluse,d3-006,2,56,3,20,2626.072,2632.095,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T056.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T056.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T056.csv
3_avatartooluse,d3-006,2,57,3,21,2635.05,2642.589,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T057.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T057.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T057.csv
3_avatartooluse,d3-006,2,58,3,22,2649.421,2654.846,,,,,,,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_gaze_data_T058.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vrpn_tool_movement_T058.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,3_avatartooluse/d3-006/S002/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T058.csv
