ppid,trial_num_in_block,time,start_time
d3-017,12,pre,400
d3-017,13,pre,250
d3-017,14,pre,365
d3-017,15,pre,350
d3-017,16,pre,300
d3-017,17,pre,370
d3-017,18,pre,445
d3-018,1,post,565
d3-018,2,post,450
d3-018,3,post,825
d3-018,4,post,115
d3-018,5,post,515
d3-018,6,post,455
d3-018,7,post,370
d3-018,8,post,615
d3-018,9,post,355
d3-018,10,post,550
d3-018,11,post,720
d3-018,12,post,820
d3-018,13,post,605
d3-018,14,post,535
d3-018,15,post,775
d3-018,16,post,470
d3-018,17,post,735
d3-018,18,post,625
d3-018,1,pre,2765
d3-018,2,pre,1530
d3-018,3,pre,1510
d3-018,4,pre,825
d3-018,5,pre,610
d3-018,6,pre,975
d3-018,7,pre,600
d3-018,8,pre,440
d3-018,9,pre,665
d3-018,10,pre,915
d3-018,11,pre,770
d3-018,12,pre,495
d3-018,13,pre,590
d3-018,14,pre,465
d3-018,15,pre,750
d3-018,16,pre,675
d3-018,17,pre,480
d3-018,18,pre,905
d3-019,1,post,760
d3-019,2,post,600
d3-019,3,post,500
d3-019,4,post,620
d3-019,5,post,610
d3-019,6,post,400
d3-019,7,post,245
d3-019,8,post,615
d3-019,9,post,535
d3-019,10,post,470
d3-019,11,post,520
d3-019,12,post,440
d3-019,13,post,585
d3-019,14,post,550
d3-019,15,post,645
d3-019,16,post,500
d3-019,17,post,600
d3-019,18,post,615
d3-019,1,pre,4870
d3-019,2,pre,440
d3-019,3,pre,720
d3-019,4,pre,475
d3-019,5,pre,900
d3-019,6,pre,805
d3-019,7,pre,705
d3-019,8,pre,375
d3-019,9,pre,795
d3-019,10,pre,445
d3-019,11,pre,560
d3-019,12,pre,835
d3-019,13,pre,710
d3-019,14,pre,545
d3-019,15,pre,490
d3-019,16,pre,720
d3-019,17,pre,705
d3-019,18,pre,400
d3-020,1,post,330
d3-020,2,post,200
d3-020,3,post,255
d3-020,4,post,275
d3-020,5,post,205
d3-020,6,post,345
d3-020,7,post,295
d3-020,8,post,405
d3-020,9,post,355
d3-020,10,post,270
d3-020,11,post,295
d3-020,12,post,180
d3-020,13,post,250
d3-020,14,post,640
d3-020,15,post,305
d3-020,16,post,305
d3-020,17,post,240
d3-020,18,post,545
d3-020,1,pre,410
d3-020,2,pre,470
d3-020,3,pre,345
d3-020,4,pre,315
d3-020,5,pre,445
d3-020,6,pre,490
d3-020,7,pre,415
d3-020,8,pre,355
d3-020,9,pre,390
d3-020,10,pre,390
d3-020,11,pre,340
d3-020,12,pre,415
d3-020,13,pre,285
d3-020,14,pre,335
d3-020,15,pre,265
