ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d3-003,3_avatartooluse,pre,2,11,pre,Elbow,Elbow,0.0172,0.0172,0.3503,Elbow,FALSE
d3-003,3_avatartooluse,pre,2,12,pre,Wrist,Wrist,-0.0842,-0.0842,0.3495,Wrist,FALSE
d3-003,3_avatartooluse,pre,2,13,pre,Elbow,Elbow,0.0383,0.0383,0.3497,Elbow,FALSE
d3-003,3_avatartooluse,pre,2,14,pre,Wrist,Wrist,-0.1232,-0.1232,0.3501,Forearm,FALSE
d3-003,3_avatartooluse,pre,2,15,pre,Forearm,Forearm,-0.0488,-0.0488,0.351,Forearm,FALSE
d3-003,3_avatartooluse,pre,2,16,pre,Elbow,Elbow,0.0339,0.0339,0.3511,Elbow,FALSE
d3-003,3_avatartooluse,pre,2,17,pre,Forearm,Forearm,-0.0392,-0.0392,0.3512,Forearm,FALSE
d3-003,3_avatartooluse,pre,2,18,pre,Wrist,Wrist,-0.0906,-0.0906,0.3498,Forearm,FALSE
d3-003,3_avatartooluse,second,5,1,post,Forearm,Forearm,-0.0232,-0.0232,0.3414,Forearm,FALSE
d3-003,3_avatartooluse,second,5,2,post,Elbow,Elbow,0.0335,0.0335,0.3394,Elbow,FALSE
d3-003,3_avatartooluse,second,5,3,post,Wrist,Wrist,-0.0967,-0.0967,0.3416,Forearm,FALSE
d3-003,3_avatartooluse,second,5,4,post,Forearm,Forearm,-0.0105,-0.0105,0.3411,Forearm,FALSE
d3-003,3_avatartooluse,second,5,5,post,Wrist,Wrist,-0.0898,-0.0898,0.34,Forearm,FALSE
d3-003,3_avatartooluse,second,5,6,post,Elbow,Elbow,0.0268,0.0268,0.3409,Elbow,FALSE
d3-003,3_avatartooluse,second,5,7,post,Forearm,Forearm,-0.0799,-0.0799,0.3392,Forearm,FALSE
d3-003,3_avatartooluse,second,5,8,post,Wrist,Wrist,-0.1337,-0.1337,0.3398,Forearm,FALSE
d3-003,3_avatartooluse,second,5,9,post,Elbow,Elbow,0.0196,0.0196,0.3416,Elbow,FALSE
d3-003,3_avatartooluse,second,5,10,post,Wrist,Wrist,-0.0801,-0.0801,0.3413,Wrist,FALSE
d3-003,3_avatartooluse,second,5,11,post,Elbow,Elbow,0.0052,0.0052,0.3417,Elbow,FALSE
d3-003,3_avatartooluse,second,5,12,post,Forearm,Forearm,-0.0561,-0.0561,0.3421,Forearm,FALSE
d3-003,3_avatartooluse,second,5,13,post,Elbow,Elbow,0.0131,0.0131,0.3425,Elbow,FALSE
d3-003,3_avatartooluse,second,5,14,post,Wrist,Wrist,-0.1248,-0.1248,0.3422,Forearm,FALSE
d3-003,3_avatartooluse,second,5,15,post,Forearm,Forearm,-0.0513,-0.0513,0.3412,Forearm,FALSE
d3-003,3_avatartooluse,second,5,16,post,Wrist,Wrist,-0.114,-0.114,0.3405,Forearm,FALSE
d3-003,3_avatartooluse,second,5,17,post,Elbow,Elbow,0.0069,0.0069,0.3404,Elbow,FALSE
d3-003,3_avatartooluse,second,5,18,post,Forearm,Forearm,-0.0788,-0.0788,0.3413,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,1,pre,Elbow,Elbow,0.0485,0.0485,0.3065,Elbow,FALSE
d3-004,3_avatartooluse,pre,2,2,pre,Forearm,Forearm,0.033,0.033,0.3074,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,3,pre,Wrist,Wrist,-0.0384,-0.0384,0.3086,Wrist,FALSE
d3-004,3_avatartooluse,pre,2,4,pre,Elbow,Elbow,0.0801,0.0801,0.3105,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,5,pre,Wrist,Wrist,0.016,0.016,0.3114,Wrist,FALSE
d3-004,3_avatartooluse,pre,2,6,pre,Forearm,Forearm,-0.0183,-0.0183,0.3121,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,7,pre,Elbow,Elbow,0.0687,0.0687,0.3132,Elbow,FALSE
d3-004,3_avatartooluse,pre,2,8,pre,Forearm,Forearm,-0.0084,-0.0084,0.3141,Forearm,FALSE
d3-004,3_avatartooluse,pre,2,9,pre,Wrist,Wrist,-0.0344,-0.0344,0.3142,Wrist,FALSE
d3-004,3_avatartooluse,pre,2,10,pre,Elbow,Elbow,-0.0701,-0.0701,0.3142,Elbow,FALSE
d3-004,3_avatartooluse,pre,2,11,pre,Wrist,Wrist,-0.022,-0.022,0.3137,Wrist,FALSE
d3-004,3_avatartooluse,pre,2,12,pre,Forearm,Forearm,-0.0454,-0.0454,0.3136,Forearm,FALSE
