ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt,tracking,combined_vel,combined_vel_lat,combined_acc,combined_acc_lat,combined_dec,combined_dec_lat,ovr_vel_m_filt,ovr_vel_lat_filt,ovr_acc_m_filtfilt,ovr_acc_lat_filtfilt,ovr_dec_m_filtfilt,ovr_dec_lat_filtfilt
d3-002,9,post,second,1669.82382510971,275,12669.4201645854,-8872.62015314638,165,390,ppt,,,,,,,,,,,,
d3-002,9,pre,pre,1150.78371472843,315,8791.05418889673,-5130.96758903664,215,570,ppt,,,,,,,,,,,,
d3-002,10,post,second,1154.69324836839,300,7403.74926314304,-4418.62774173341,170,620,ppt,,,,,,,,,,,,
d3-002,10,pre,pre,1553.61881361332,290,11588.2043577409,-6298.3506539478,205,400,ppt,,,,,,,,,,,,
d3-002,11,post,second,1344.64715499429,300,7397.70871430375,-5538.60495662095,165,405,ppt,,,,,,,,,,,,
d3-002,11,pre,pre,1451.09947861034,315,11029.8913184671,-6442.54594520594,215,410,ppt,,,,,,,,,,,,
d3-002,12,post,second,1266.26702125134,310,7728.53143392289,-6647.32557236282,170,455,ppt,,,,,,,,,,,,
d3-002,12,pre,pre,1336.02142568918,465,8124.56308076558,-6254.64468995213,355,620,ppt,,,,,,,,,,,,
d3-002,13,post,second,1160.05136106361,340,8777.02838535204,-4714.25836579937,145,425,ppt,,,,,,,,,,,,
d3-002,13,pre,pre,1245.85573693029,265,9662.95207248994,-5058.1173681436,130,400,ppt,,,,,,,,,,,,
d3-002,14,post,second,1206.44734153246,355,6241.18994793159,-5912.44811386107,145,465,ppt,,,,,,,,,,,,
d3-002,14,pre,pre,1243.73843147262,265,9529.45968761854,-4682.30289186832,195,470,ppt,,,,,,,,,,,,
d3-002,15,post,second,1303.29651374158,325,7321.80265209855,-7459.5919922324,150,495,ppt,,,,,,,,,,,,
d3-002,15,pre,pre,1298.73648219947,310,8007.65909436604,-6008.33810544986,205,485,ppt,,,,,,,,,,,,
d3-002,16,post,second,1559.71064760842,300,8718.4528008204,-8086.66734466879,190,385,ppt,,,,,,,,,,,,
d3-002,16,pre,pre,1467.32567153625,305,9714.00947031621,-6518.83840730695,215,445,ppt,,,,,,,,,,,,
d3-002,17,post,second,1522.69592594242,355,9077.41701735001,-8333.36715050833,240,475,ppt,,,,,,,,,,,,
d3-002,17,pre,pre,1439.53915722354,400,12076.7703500987,-6864.23410227079,320,530,ppt,,,,,,,,,,,,
d3-002,18,post,second,1428.05634208893,400,8338.34389198873,-6090.15942860402,275,515,ppt,,,,,,,,,,,,
d3-002,18,pre,pre,1274.1616858506,310,8409.05693713936,-4356.65249711133,185,420,ppt,,,,,,,,,,,,
d3-003,1,post,first,723.466963750185,350,5132.93405144899,-1706.48287513001,255,550,ppt,,,,,,,,,,,,
d3-003,1,pre,pre,1007.46165823477,365,5459.57280209082,-3623.82578335667,210,515,ppt,,,,,,,,,,,,
d3-003,2,post,first,857.72826429922,365,5203.20534279171,-2916.73452874967,210,615,ppt,,,,,,,,,,,,
d3-003,2,pre,pre,906.572112502394,450,5279.64083215623,-3165.86294752015,295,695,ppt,,,,,,,,,,,,
d3-003,3,post,first,900.360967142204,425,6101.37161531927,-3315.6273861574,270,545,ppt,,,,,,,,,,,,
d3-003,3,pre,pre,858.908035594233,390,4836.20664763477,-2229.7348711227,260,555,ppt,,,,,,,,,,,,
d3-003,4,post,first,917.7878557555,330,6642.87694196395,-3977.97122295182,235,570,ppt,,,,,,,,,,,,
d3-003,4,pre,pre,883.090607957937,395,5458.57848443834,-3265.09327211196,235,600,ppt,,,,,,,,,,,,
d3-003,5,post,first,989.667969345683,420,6098.75144455808,-5250.9115395152,280,615,ppt,,,,,,,,,,,,
d3-003,5,pre,pre,801.138166780732,450,4676.39349845488,-2610.31295196854,265,585,ppt,,,,,,,,,,,,
d3-003,6,post,first,935.658570115621,400,5084.40622343238,-4374.1788480043,225,565,ppt,,,,,,,,,,,,
d3-003,6,pre,pre,736.211743533845,425,3912.62511917361,-2766.05593585856,310,700,ppt,,,,,,,,,,,,
d3-003,7,post,first,1030.26541334291,365,7912.72434732381,-4115.92024958274,215,490,ppt,,,,,,,,,,,,
d3-003,7,pre,pre,787.214822119487,430,4659.43536530922,-2100.10067800299,255,605,ppt,,,,,,,,,,,,
d3-003,8,post,first,1063.3362407125,395,5531.25816362982,-4752.93246745165,205,530,ppt,,,,,,,,,,,,
d3-003,8,pre,pre,907.267437399062,405,5374.31033026609,-3246.61176796078,230,510,ppt,,,,,,,,,,,,
d3-003,9,post,first,1008.14681813487,360,6471.62845584046,-3634.12425192859,230,550,ppt,,,,,,,,,,,,
d3-003,9,pre,pre,945.014667855089,435,5926.22495420092,-3765.1765413782,180,600,ppt,,,,,,,,,,,,
d3-003,10,post,first,943.445738920755,395,6741.80668681854,-3613.84164238805,230,540,ppt,,,,,,,,,,,,
d3-003,10,pre,pre,1056.73177009501,390,6098.06984783111,-3849.29518353035,200,615,ppt,,,,,,,,,,,,
d3-003,11,post,first,1008.1518705557,340,7573.11698431068,-4127.49876727935,200,470,ppt,,,,,,,,,,,,
d3-003,11,pre,pre,978.371784290582,395,5092.53380971419,-3129.62982695704,210,595,ppt,,,,,,,,,,,,
d3-003,12,post,first,1113.31903926916,375,7999.87987958482,-5138.91008402727,225,525,ppt,,,,,,,,,,,,
d3-003,12,pre,pre,834.546445705528,420,5113.66608558524,-2462.34534641907,270,575,ppt,,,,,,,,,,,,
d3-003,13,post,first,1106.51541559931,405,5273.11463946319,-5464.68056396036,225,550,ppt,,,,,,,,,,,,
d3-003,13,pre,pre,951.52769370481,390,5210.31211203446,-3134.86008629245,215,480,ppt,,,,,,,,,,,,
d3-003,14,post,first,993.620861381158,390,5408.72428110994,-4241.36063816765,225,515,ppt,,,,,,,,,,,,
d3-003,14,pre,pre,896.327773756166,395,6053.08019162052,-3597.43576258188,255,560,ppt,,,,,,,,,,,,
d3-003,15,post,first,1017.24905614153,405,4823.96774071504,-4454.20181921085,245,535,ppt,,,,,,,,,,,,
d3-003,15,pre,pre,900.988689555943,430,4240.15634396804,-3527.6618653501,260,520,ppt,,,,,,,,,,,,
d3-003,16,post,first,1067.16351875378,380,6267.15587901,-4413.81482236876,205,525,ppt,,,,,,,,,,,,
d3-003,16,pre,pre,922.473517207503,400,5482.52322001905,-4018.15579960157,240,510,ppt,,,,,,,,,,,,
d3-003,17,post,first,963.553025052587,310,7162.98426784268,-4106.20228482273,220,535,ppt,,,,,,,,,,,,
d3-003,17,pre,pre,1067.670969032,385,7097.50623531376,-4672.89245970422,225,500,ppt,,,,,,,,,,,,
d3-003,18,post,first,1007.66929894733,410,6057.22760457129,-4325.11561489322,225,515,ppt,,,,,,,,,,,,
d3-003,18,pre,pre,1109.51408666139,380,6494.64487760232,-5412.2318234487,195,500,ppt,,,,,,,,,,,,
d3-004,1,post,first,717.823344614899,445,3082.46961251644,-4455.58366486634,320,490,ppt,,,,,,,,,,,,
d3-004,1,pre,pre,960.23706974823,555,3905.39334899955,-2327.93237774079,430,875,ppt,,,,,,,,,,,,
d3-004,2,post,first,1217.39912725962,375,4406.11168327142,-4455.58366486634,160,490,ppt,,,,,,,,,,,,
d3-004,2,pre,pre,774.833134478701,635,3214.78027801332,-2658.87722460357,150,785,ppt,,,,,,,,,,,,
d3-004,3,post,first,1210.89357205939,360,5601.89435459158,-4702.87002169305,275,490,ppt,,,,,,,,,,,,
d3-004,3,pre,pre,1017.52426590235,400,4512.84740158789,-2921.52428921927,255,625,ppt,,,,,,,,,,,,
d3-004,4,post,first,1126.9110467648,330,6071.35973536031,-4114.77854470994,190,685,ppt,,,,,,,,,,,,
d3-004,4,pre,pre,1105.21476706184,355,5498.63189742432,-3473.64117555315,165,520,ppt,,,,,,,,,,,,
d3-004,5,post,first,1306.78689522123,365,5537.58943416577,-5482.32058393771,145,520,ppt,,,,,,,,,,,,
d3-004,5,pre,pre,1220.85135292704,400,6103.82390312865,-6423.45956474318,230,535,ppt,,,,,,,,,,,,
d3-004,6,post,first,1385.019885439,380,5992.0225373785,-6766.37487849857,160,485,ppt,,,,,,,,,,,,
d3-004,6,pre,pre,1195.25929596238,380,4663.22649752943,-4541.99026984406,245,535,ppt,,,,,,,,,,,,
d3-004,7,post,first,1509.41934549734,315,7636.02424165027,-6712.65989384753,170,405,ppt,,,,,,,,,,,,
d3-004,7,pre,pre,1312.1227007007,340,5566.44665550713,-5971.94424534977,175,415,ppt,,,,,,,,,,,,
d3-004,8,post,first,1436.44968113289,370,5330.23192776325,-6862.80851588733,235,500,ppt,,,,,,,,,,,,
d3-004,8,pre,pre,1158.52047693964,390,5033.05168619512,-3849.14466336925,155,580,ppt,,,,,,,,,,,,
d3-004,9,post,first,1518.37127431404,360,7377.02528976256,-7723.91971833802,240,430,ppt,,,,,,,,,,,,
d3-004,9,pre,pre,1196.42249911598,390,5218.15040579117,-4832.44991343497,225,535,ppt,,,,,,,,,,,,
d3-004,10,post,first,1445.28400453573,325,6699.14045237358,-7800.17387001622,150,450,ppt,,,,,,,,,,,,
d3-004,10,pre,pre,1241.06455018107,430,5857.04846626864,-4808.06850506078,260,595,ppt,,,,,,,,,,,,
d3-004,11,post,first,1527.34023698692,320,7514.95633190099,-7109.18647701408,160,415,ppt,,,,,,,,,,,,
d3-004,11,pre,pre,1253.47027210243,400,5855.05015115705,-5956.21382258242,235,525,ppt,,,,,,,,,,,,
d3-004,12,post,first,1362.63201773825,330,7597.75709488618,-5807.15877111996,200,480,ppt,,,,,,,,,,,,
d3-004,12,pre,pre,1355.91646939009,380,5948.0551878684,-5950.042795256,205,525,ppt,,,,,,,,,,,,
d3-004,13,post,first,1460.93956638626,320,7856.99881369241,-6502.9789268524,185,460,ppt,,,,,,,,,,,,
d3-004,13,pre,pre,1271.22635831548,370,5724.23144915113,-5425.53350592824,210,485,ppt,,,,,,,,,,,,
d3-004,14,post,first,1568.16817235019,335,7569.79458722733,-8164.91930243322,140,415,ppt,,,,,,,,,,,,
d3-004,14,pre,pre,1425.80673432537,450,7523.83318759387,-6427.71130564341,280,545,ppt,,,,,,,,,,,,
d3-004,15,post,first,1520.58163269082,330,7035.06218134844,-7525.13061361371,170,455,ppt,,,,,,,,,,,,
d3-004,15,pre,pre,1262.40170942071,365,6659.74940817817,-6632.46666717102,155,510,ppt,,,,,,,,,,,,
d3-004,16,post,first,1389.76016687162,365,7430.59582930801,-7651.17884745176,190,465,ppt,,,,,,,,,,,,
d3-004,16,pre,pre,1343.71680843108,395,7455.78945830141,-6271.38966095899,150,540,ppt,,,,,,,,,,,,
d3-004,17,post,first,1492.79602451256,350,7837.48238610272,-8067.00427735366,165,435,ppt,,,,,,,,,,,,
d3-004,17,pre,pre,1306.85024996381,375,6117.67670331923,-5857.14152190266,265,535,ppt,,,,,,,,,,,,
d3-004,18,post,first,1221.54756709845,330,7841.37770246631,-5520.58914071835,180,580,ppt,,,,,,,,,,,,
d3-004,18,pre,pre,1198.30997147039,395,4798.48116572921,-4865.51511461423,275,490,ppt,,,,,,,,,,,,
d3-005,1,post,first,1054.40469917229,245,8215.04595527573,-3877.07691572328,125,470,ppt,,,,,,,,,,,,
d3-005,1,pre,pre,1441.35051485357,360,10446.6778753759,-7180.45243977356,110,520,ppt,,,,,,,,,,,,
d3-005,2,post,first,1023.01786658625,365,5587.64285134561,-4885.65229742412,195,580,ppt,,,,,,,,,,,,
d3-005,2,pre,pre,1033.13706571116,355,5139.01324972426,-3407.77482335629,130,710,ppt,,,,,,,,,,,,
d3-005,3,post,first,1077.1794073312,325,5809.81278460006,-3721.53096379789,195,500,ppt,,,,,,,,,,,,
d3-005,3,pre,pre,917.203250721205,340,7692.65406911592,-3248.66613105188,150,595,ppt,,,,,,,,,,,,
d3-005,4,post,first,993.782834621879,480,4989.24627718299,-3893.78785398038,200,650,ppt,,,,,,,,,,,,
d3-005,4,pre,pre,1328.41004488657,340,6943.67496007086,-6988.00848299123,175,450,ppt,,,,,,,,,,,,
d3-005,5,post,first,984.804397449092,345,6123.29644744608,-2876.93971062712,225,700,ppt,,,,,,,,,,,,
d3-005,5,pre,pre,1375.73218592085,420,6733.20360730805,-7643.64892114445,140,470,ppt,,,,,,,,,,,,
d3-005,6,post,first,1122.02371453477,475,6271.8276030215,-4014.19100603233,265,520,ppt,,,,,,,,,,,,
d3-005,6,pre,pre,1237.66563670856,345,6923.01487539479,-5263.7206143384,170,440,ppt,,,,,,,,,,,,
d3-005,7,post,first,1051.20181233605,410,3596.4636413849,-4795.97409011241,215,680,ppt,,,,,,,,,,,,
d3-005,7,pre,pre,952.52138399006,510,5591.14003599952,-4319.82383353751,135,615,ppt,,,,,,,,,,,,
