ppid,trial_num_in_block,order,time,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d3-009,1,first,post,853.130587622622,305,6925.36761497625,-2613.98018198126,195,475
d3-009,2,first,post,1131.40048394596,310,6693.68488169408,-4423.97998519349,190,450
d3-009,3,first,post,890.202774203768,305,6122.28021819457,-3211.6495952949,200,530
d3-009,4,first,post,847.194245835282,350,6694.30014917021,-3407.81398877012,160,465
d3-009,5,first,post,914.481116274507,415,7080.46110279365,-3492.22550825987,260,450
d3-009,6,first,post,792.682937138667,370,4628.82162276465,-2952.08260384071,260,545
d3-009,7,first,post,904.63517134793,350,7776.85666741425,-3419.45380769461,225,555
d3-009,8,first,post,933.887249988047,320,7529.2386951219,-4065.32199136891,230,535
d3-009,9,first,post,970.568266290326,315,6599.60641398069,-3828.29694038052,210,465
d3-009,10,first,post,1103.31174851415,290,8322.40907347859,-3549.53896774471,220,480
d3-009,11,first,post,1058.20837288199,380,7169.83314320542,-5042.21949160772,235,505
d3-009,12,first,post,956.588896029903,285,5628.67982150641,-4236.79818624539,175,465
d3-009,13,first,post,943.504161477687,360,4472.7779383182,-4647.12103977937,160,505
d3-009,14,first,post,1038.51039184253,330,4822.6862384599,-5099.5108821232,250,475
d3-009,15,first,post,971.542323342168,305,6123.07731394689,-4201.16616041941,180,460
d3-009,16,first,post,1158.55807016346,285,7043.35505234828,-5100.78938085286,195,425
d3-009,17,first,post,1107.52878228496,295,6334.47482995684,-4669.64730755733,170,470
d3-009,18,first,post,1002.04945614503,295,6456.55371046455,-2981.29889434723,200,400
d3-009,1,pre,pre,950.609349824362,335,5325.1154379266,-3080.96669804173,170,535
d3-009,2,pre,pre,1222.11846746052,325,6503.84342920483,-4837.75190255874,155,450
d3-009,3,pre,pre,885.919027193435,430,7409.84365190102,-3217.85006200194,155,795
d3-009,4,pre,pre,986.752533382813,415,5326.69992807244,-3733.13522727901,180,590
d3-009,5,pre,pre,1257.289795853,385,6613.97465387435,-5991.3669569794,160,495
d3-009,6,pre,pre,1082.50023228559,420,5286.22951060269,-3942.30978487527,205,495
d3-009,7,pre,pre,1049.66844081257,360,6416.3627470691,-3118.20372492295,200,475
d3-009,8,pre,pre,1045.49560211866,370,5622.07888969784,-3111.84263462123,160,455
d3-009,9,pre,pre,966.915411299151,395,4742.07727676529,-2970.95186199795,270,550
d3-009,10,pre,pre,946.052446449193,360,4832.39617036581,-2582.88266555995,190,565
d3-009,11,pre,pre,1027.77729441937,390,5721.46471857072,-4631.30024181814,180,455
d3-009,12,pre,pre,972.178347373968,370,5736.77326092422,-3548.9948877798,195,510
d3-009,13,pre,pre,940.131876825352,340,5663.45042499724,-3319.53697558193,200,565
d3-009,14,pre,pre,959.267195844675,370,4754.23481618528,-2745.92430241453,210,520
d3-009,15,pre,pre,907.843617854329,425,5055.15902750084,-3469.53724752441,225,625
d3-009,16,pre,pre,791.498924260236,365,4626.65238662853,-1771.68914600284,195,715
d3-009,17,pre,pre,942.9007024842,310,4535.10057805363,-3310.99724900284,185,530
d3-009,18,pre,pre,1014.38227303082,330,6790.94064094127,-4058.51349406006,160,470
d3-010,1,first,post,1040.40571045477,390,5704.00591884635,-5093.72159382492,155,555
d3-010,2,first,post,939.605850927862,445,5632.27387184316,-3417.90970868897,210,565
d3-010,3,first,post,896.90044294957,410,4452.38641859688,-3235.97442428765,185,615
d3-010,4,first,post,912.11701187818,485,4918.97455314215,-3044.61420048586,210,620
d3-010,5,first,post,971.638628278775,340,5409.07935989564,-2916.6875871635,130,610
d3-010,6,first,post,1086.09085582517,305,6738.78374135788,-5291.6499313401,130,500
d3-010,7,first,post,1126.8511727262,410,7924.35874836259,-5513.8168308364,170,490
d3-010,8,first,post,925.782370804831,400,4483.5862690107,-3500.67374688752,205,560
d3-010,9,first,post,1049.98629512686,435,4091.26829257538,-6240.91627882307,175,565
d3-010,10,first,post,1029.26951809026,370,7033.57368927894,-3716.92590099232,145,500
d3-010,11,first,post,1122.80857844079,365,4670.33888241211,-4989.1190019458,245,545
d3-010,12,first,post,1127.19522845371,440,6755.43442693448,-6605.77880023502,220,515
d3-010,13,first,post,1130.1395278356,350,5721.6132936983,-5750.44569195314,165,520
d3-010,14,first,post,1176.54717422187,325,6763.02003844095,-5129.51909663353,135,485
d3-010,15,first,post,1367.03360894335,305,6358.5536204849,-5171.29584300815,260,485
d3-010,16,first,post,1167.57975939585,290,7431.32204616117,-3607.10868276878,150,445
d3-010,17,first,post,1136.62247520232,265,5827.10514906424,-6582.10421024,125,425
d3-010,18,first,post,1035.98749285335,310,4517.26413229888,-4424.37614139118,145,465
d3-010,1,pre,pre,1238.45183806845,300,9224.46388190017,-5867.10579141092,150,510
d3-010,2,pre,pre,1231.30917922287,355,7114.51965824801,-5135.37968866808,175,465
d3-010,3,pre,pre,1072.83150579339,420,4676.68997051444,-4160.01699548811,145,575
d3-010,4,pre,pre,1183.83793478606,370,5176.10664060364,-4655.33230329707,125,520
d3-010,5,pre,pre,968.414861745537,430,4476.06614058245,-4906.29797725929,150,670
d3-010,6,pre,pre,1179.46449850116,460,4679.97449934373,-5262.02701152179,270,615
d3-010,7,pre,pre,1161.01282583367,335,7362.23300109245,-3722.52820942912,160,475
d3-010,8,pre,pre,1148.37567180004,355,5616.86998743707,-4237.99682791537,145,630
d3-010,9,pre,pre,968.075619270679,375,5260.13262030441,-5245.43334809521,135,620
d3-010,10,pre,pre,1144.53295025154,270,8489.15241917823,-3926.67883163477,155,490
d3-010,11,pre,pre,1061.64041487463,395,6035.95714942909,-5097.77235947134,150,540
d3-010,12,pre,pre,1165.61669150028,390,5677.1801355115,-6261.67763163787,175,510
d3-010,13,pre,pre,1032.35916919307,460,4333.94673366496,-5013.21678951858,230,615
d3-010,14,pre,pre,1121.39190852016,340,5693.33136675606,-4688.60207002741,140,530
d3-010,15,pre,pre,947.12071279356,350,4968.24165626219,-3678.82413023436,180,570
d3-010,16,pre,pre,1074.716503075,385,5205.93007308482,-4677.57804603063,200,565
d3-010,17,pre,pre,1003.13331528717,360,4693.23782767768,-4021.45050899502,150,615
d3-010,18,pre,pre,882.183652314695,295,6014.96024118587,-3976.88263304673,145,520
d3-011,1,first,post,1046.25131638788,450,3908.37894417249,-4527.29835069878,285,645
d3-011,2,first,post,1070.84579215117,390,4924.28633261117,-4828.08748669197,235,540
d3-011,3,first,post,1182.83098893489,385,5364.72955251454,-4444.74563351919,125,530
d3-011,4,first,post,1105.70618066224,360,5186.74077634716,-4412.23096758407,145,520
d3-011,5,first,post,997.423628394204,365,4017.59915629196,-3406.63389042876,155,665
d3-011,6,first,post,1108.14433361381,430,4020.2951613939,-4147.7727766461,350,650
d3-011,7,first,post,1069.62664948402,360,4411.20565506218,-3990.70276048197,115,480
d3-011,8,first,post,1131.11120222493,375,5324.00449226913,-3795.32654598118,135,470
d3-011,9,first,post,995.568848501252,425,4094.1041388444,-3683.16414198298,205,605
