experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-010,1,11,1,11,522.5339,523.178,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T011.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T011.csv,,,,,,
1_tooluseinVR,d1-010,1,12,1,12,527.2314,529.908,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T012.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T012.csv,,,,,,
1_tooluseinVR,d1-010,1,13,1,13,533.9617,534.4282,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T013.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T013.csv,,,,,,
1_tooluseinVR,d1-010,1,14,1,14,538.4817,541.5806,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T014.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T014.csv,,,,,,
1_tooluseinVR,d1-010,1,15,1,15,545.6227,546.5558,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T015.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T015.csv,,,,,,
1_tooluseinVR,d1-010,1,16,1,16,550.6096,552.0311,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T016.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T016.csv,,,,,,
1_tooluseinVR,d1-010,1,17,1,17,556.0851,557.062,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T017.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T017.csv,,,,,,
1_tooluseinVR,d1-010,1,18,1,18,573.599,577.0192,1_tooluseinVR/d1-010/S001/trackers/landmark/landmarkstimulus_estimates_T018.csv,1_tooluseinVR/d1-010/S001/trackers/landmark/landmark_eyeTrackingData_T018.csv,,,,,,
1_tooluseinVR,d1-010,1,19,2,1,831.5731,846.7238,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T019.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T019.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T019.csv,,,
1_tooluseinVR,d1-010,1,20,2,2,850.8098,857.619,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T020.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T020.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T020.csv,,,
1_tooluseinVR,d1-010,1,21,2,3,862.6687,869.4598,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T021.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T021.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T021.csv,,,
1_tooluseinVR,d1-010,1,22,2,4,878.6761,886.3952,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T022.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T022.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T022.csv,,,
1_tooluseinVR,d1-010,1,23,2,5,891.2139,898.1451,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T023.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T023.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T023.csv,,,
1_tooluseinVR,d1-010,1,24,2,6,904.475,910.5391,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T024.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T024.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T024.csv,,,
1_tooluseinVR,d1-010,1,25,2,7,914.4037,920.7003,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T025.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T025.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T025.csv,,,
1_tooluseinVR,d1-010,1,26,2,8,925.0531,931.0182,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T026.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T026.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T026.csv,,,
1_tooluseinVR,d1-010,1,27,2,9,933.9713,940.3574,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T027.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T027.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T027.csv,,,
1_tooluseinVR,d1-010,1,28,2,10,943.3123,949.5311,,,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T028.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T028.csv,1_tooluseinVR/d1-010/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T028.csv,,,
