experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-009,1,65,3,29,2488.872,2499.736,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T065.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T065.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T065.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T065.csv
3_avatartooluse,d3-009,1,66,3,30,2502.688,2510.517,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T066.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T066.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T066.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T066.csv
3_avatartooluse,d3-009,1,67,3,31,2513.471,2520.662,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T067.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T067.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T067.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T067.csv
3_avatartooluse,d3-009,1,68,3,32,2523.622,2530.119,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T068.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T068.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T068.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T068.csv
3_avatartooluse,d3-009,1,69,3,33,2533.083,2540.658,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T069.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T069.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T069.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T069.csv
3_avatartooluse,d3-009,1,70,3,34,2543.613,2551.486,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T070.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T070.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T070.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T070.csv
3_avatartooluse,d3-009,1,71,3,35,2554.441,2565.253,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T071.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T071.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T071.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T071.csv
3_avatartooluse,d3-009,1,72,3,36,2570.589,2576.901,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T072.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T072.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T072.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T072.csv
3_avatartooluse,d3-009,1,73,3,37,2579.861,2588.647,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T073.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T073.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T073.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T073.csv
3_avatartooluse,d3-009,1,74,3,38,2591.601,2598.376,,,,,,,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_gaze_data_T074.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T074.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T074.csv,3_avatartooluse/d3-009/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T074.csv
