experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,openvr_position_offset_x,openvr_position_offset_y,openvr_position_offset_z,openvr_rotation_offset_x,openvr_rotation_offset_y,openvr_rotation_offset_z,openvr_scale_offset_x,openvr_scale_offset_y,openvr_scale_offset_z,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-023,1,54,3,18,2325.844,2332.085,0,0,0,0.267327,0,0.289246,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T054.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T054.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T054.csv
3_avatartooluse,d3-023,1,55,3,19,2335.04,2341.459,0,0,0,0.267327,0,0.289246,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T055.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T055.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T055.csv
3_avatartooluse,d3-023,1,56,3,20,2344.413,2351.144,0,0,0,0.262939,0,0.308743,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T056.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T056.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T056.csv
3_avatartooluse,d3-023,1,57,3,21,2354.097,2361.294,0,0,0,0.258571,0,0.323602,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T057.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T057.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T057.csv
3_avatartooluse,d3-023,1,58,3,22,2364.248,2371.222,0,0,0,0.25483,0,0.333829,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T058.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T058.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T058.csv
3_avatartooluse,d3-023,1,59,3,23,2374.177,2380.673,0,0,0,0.251857,0,0.338467,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T059.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T059.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T059.csv
3_avatartooluse,d3-023,1,60,3,24,2383.628,2390.147,0,0,0,0.251857,0,0.338467,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T060.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T060.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T060.csv
3_avatartooluse,d3-023,1,61,3,25,2393.101,2399.021,0,0,0,0.251258,0,0.335916,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T061.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T061.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T061.csv
3_avatartooluse,d3-023,1,62,3,26,2401.975,2408.271,0,0,0,0.249897,0,0.333023,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T062.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T062.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T062.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T062.csv
3_avatartooluse,d3-023,1,63,3,27,2411.226,2417.378,0,0,0,0.249897,0,0.333023,1,1,1,,,,,,,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_gaze_data_T063.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T063.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T063.csv,3_avatartooluse/d3-023/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T063.csv
