experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmark_estimates_location_0,landmark_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_gaze_data_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,tool_reach_gaze_data_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-002,1,43,3,7,1981.41,1986.995,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T043.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T043.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T043.csv
3_avatartooluse,d3-002,1,44,3,8,1989.95,1996.558,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T044.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T044.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T044.csv
3_avatartooluse,d3-002,1,45,3,9,1999.512,2004.043,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T045.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T045.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T045.csv
3_avatartooluse,d3-002,1,46,3,10,2006.998,2012.528,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T046.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T046.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T046.csv
3_avatartooluse,d3-002,1,47,3,11,2015.483,2023.734,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T047.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T047.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T047.csv
3_avatartooluse,d3-002,1,48,3,12,2026.688,2047.967,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T048.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T048.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T048.csv
3_avatartooluse,d3-002,1,49,3,13,2050.921,2072.921,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T049.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T049.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T049.csv
3_avatartooluse,d3-002,1,50,3,14,2076.887,2081.95,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T050.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T050.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T050.csv
3_avatartooluse,d3-002,1,51,3,15,2084.905,2090.491,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T051.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T051.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T051.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T051.csv
3_avatartooluse,d3-002,1,52,3,16,2102.531,2108.282,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T052.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T052.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T052.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T052.csv
3_avatartooluse,d3-002,1,53,3,17,2111.237,2116.967,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T053.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T053.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T053.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T053.csv
3_avatartooluse,d3-002,1,54,3,18,2119.923,2124.564,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T054.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T054.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T054.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T054.csv
3_avatartooluse,d3-002,1,55,3,19,2127.518,2132.417,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T055.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T055.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T055.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T055.csv
3_avatartooluse,d3-002,1,56,3,20,2135.371,2140.912,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T056.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T056.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T056.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T056.csv
3_avatartooluse,d3-002,1,57,3,21,2143.866,2148.742,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T057.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T057.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T057.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T057.csv
3_avatartooluse,d3-002,1,58,3,22,2161.558,2166.433,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T058.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T058.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T058.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T058.csv
3_avatartooluse,d3-002,1,59,3,23,2169.388,2175.34,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T059.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T059.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T059.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T059.csv
3_avatartooluse,d3-002,1,60,3,24,2182.581,2200.983,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T060.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T060.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T060.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T060.csv
3_avatartooluse,d3-002,1,61,3,25,2215.199,2219.975,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T061.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T061.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T061.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T061.csv
3_avatartooluse,d3-002,1,62,3,26,2225.739,2230.991,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T062.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T062.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T062.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T062.csv
3_avatartooluse,d3-002,1,63,3,27,2233.946,2239.799,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T063.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T063.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T063.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T063.csv
3_avatartooluse,d3-002,1,64,3,28,2242.753,2247.863,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T064.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T064.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T064.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T064.csv
3_avatartooluse,d3-002,1,65,3,29,2265.998,2271.251,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T065.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T065.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T065.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T065.csv
3_avatartooluse,d3-002,1,66,3,30,2274.205,2279.435,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T066.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T066.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T066.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T066.csv
3_avatartooluse,d3-002,1,67,3,31,2282.389,2288.477,,,,,,,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_gaze_data_T067.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T067.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T067.csv,3_avatartooluse/d3-002/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T067.csv
