ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d2-025,9,pre,pre,1088.5827399140917,440,4174.627411687038,-4081.816471464861,270,540
d2-025,10,post,second,1032.2891004678627,405,3589.0324530150924,-3693.5371725826963,305,505
d2-025,10,pre,pre,985.8179916279598,440,3139.1092722456688,-4418.7812651053255,200,535
d2-025,11,post,second,1095.7111711049356,405,4026.461623872248,-4235.836872151605,205,555
d2-025,11,pre,pre,952.0140862192466,400,3833.0311570438207,-3619.9842816290693,290,470
d2-025,12,post,second,994.8821242941077,400,4302.481045895833,-4219.2421054747265,155,500
d2-025,12,pre,pre,982.5781812302855,365,4056.7915870895727,-3141.255563700939,285,580
d2-025,13,post,second,955.663761613188,525,3413.627486944134,-2549.3163264176374,325,580
d2-025,13,pre,pre,914.5742511819586,435,3228.0763726425594,-3652.850088048962,200,640
d2-025,14,post,second,1086.4221053535116,660,3435.219169111262,-3785.749773604698,535,765
d2-025,14,pre,pre,904.3556809325572,365,3433.161446975901,-2621.539406222302,250,575
d2-025,15,post,second,891.94083362223,455,3607.515068761478,-3099.7989929400474,315,590
d2-025,15,pre,pre,934.5670843943642,380,3630.3606075711577,-2624.2758699726533,185,510
d2-025,16,post,second,1071.6252108141462,470,5161.50137891684,-4462.296090662663,375,665
d2-025,16,pre,pre,1104.2440894063516,435,4582.8739422851395,-4042.6963292937903,335,540
d2-025,17,post,second,1002.5711375193374,455,3043.8251093885183,-3084.999409219001,405,730
d2-025,17,pre,pre,1120.0921172178237,375,4479.425362216594,-3517.9406607982883,260,590
d2-025,18,post,second,1197.208265279176,410,4905.362548717162,-4293.048443306072,315,570
d2-025,18,pre,pre,946.6993934298105,400,3264.1573580450886,-2669.2819312993547,285,525
