ppid,trial_num_in_block,time,start_time
d2-016,13,post,305
d2-016,14,post,350
d2-016,15,post,385
d2-016,16,post,410
d2-016,17,post,315
d2-016,18,post,330
d2-016,1,pre,1460
d2-016,2,pre,540
d2-016,3,pre,240
d2-016,4,pre,360
d2-016,5,pre,325
d2-016,6,pre,350
d2-016,7,pre,440
d2-016,8,pre,405
d2-016,9,pre,405
d2-016,10,pre,365
d2-016,11,pre,435
d2-016,12,pre,405
d2-016,13,pre,360
d2-016,14,pre,270
d2-016,15,pre,405
d2-016,16,pre,375
d2-016,17,pre,430
d2-016,18,pre,375
d2-017,1,post,12920
d2-017,2,post,410
d2-017,3,post,360
d2-017,4,post,380
d2-017,5,post,365
d2-017,6,post,330
d2-017,7,post,395
d2-017,8,post,400
d2-017,9,post,465
d2-017,10,post,515
d2-017,11,post,575
d2-017,12,post,685
d2-017,13,post,585
d2-017,14,post,365
d2-017,15,post,370
d2-017,16,post,345
d2-017,17,post,285
d2-017,18,post,390
d2-017,1,pre,695
d2-017,2,pre,405
d2-017,3,pre,400
d2-017,4,pre,470
d2-017,5,pre,460
d2-017,6,pre,405
d2-017,7,pre,410
d2-017,8,pre,370
d2-017,9,pre,390
d2-017,10,pre,420
d2-017,11,pre,410
d2-017,12,pre,400
d2-017,13,pre,350
d2-017,14,pre,380
d2-017,15,pre,425
d2-017,16,pre,450
d2-017,17,pre,455
d2-017,18,pre,415
d2-018,1,post,350
d2-018,2,post,230
d2-018,3,post,210
d2-018,4,post,260
d2-018,5,post,270
d2-018,6,post,310
d2-018,7,post,265
d2-018,8,post,275
d2-018,9,post,275
d2-018,10,post,205
d2-018,11,post,185
d2-018,12,post,320
d2-018,13,post,305
d2-018,14,post,200
d2-018,15,post,150
d2-018,16,post,240
d2-018,17,post,170
d2-018,18,post,225
d2-018,1,pre,345
d2-018,2,pre,320
d2-018,3,pre,300
d2-018,4,pre,295
d2-018,5,pre,375
d2-018,6,pre,325
d2-018,7,pre,265
d2-018,8,pre,305
d2-018,9,pre,250
d2-018,10,pre,295
d2-018,11,pre,265
d2-018,12,pre,240
d2-018,13,pre,275
d2-018,14,pre,285
d2-018,15,pre,230
d2-018,16,pre,300
d2-018,17,pre,300
d2-018,18,pre,255
d2-019,1,post,150
d2-019,2,post,145
d2-019,3,post,65
d2-019,4,post,75
d2-019,5,post,170
d2-019,6,post,205
d2-019,7,post,205
d2-019,8,post,265
d2-019,9,post,410
d2-019,10,post,145
d2-019,11,post,155
d2-019,12,post,165
d2-019,13,post,135
d2-019,14,post,225
d2-019,15,post,245
d2-019,16,post,365
d2-019,17,post,140
d2-019,18,post,215
d2-019,1,pre,3505
d2-019,2,pre,310
d2-019,3,pre,175
d2-019,4,pre,160
d2-019,5,pre,30
d2-019,6,pre,235
d2-019,7,pre,30
d2-019,8,pre,135
d2-019,9,pre,395
d2-019,10,pre,380
d2-019,11,pre,365
d2-019,12,pre,310
d2-019,13,pre,320
d2-019,14,pre,150
d2-019,15,pre,290
d2-019,16,pre,30
d2-019,17,pre,140
d2-019,18,pre,30
d2-020,1,post,250
d2-020,2,post,435
d2-020,3,post,405
d2-020,4,post,305
d2-020,5,post,240
d2-020,6,post,235
d2-020,7,post,95
d2-020,8,post,310
d2-020,9,post,30
d2-020,10,post,330
d2-020,11,post,530
d2-020,12,post,500
d2-020,13,post,145
d2-020,14,post,365
d2-020,15,post,405
d2-020,16,post,460
d2-020,17,post,340
d2-020,18,post,420
d2-020,1,pre,790
d2-020,2,pre,305
d2-020,3,pre,555
d2-020,4,pre,350
d2-020,5,pre,385
d2-020,6,pre,165
d2-020,7,pre,225
d2-020,8,pre,265
d2-020,9,pre,365
d2-020,10,pre,340
d2-020,11,pre,395
d2-020,12,pre,310
d2-020,13,pre,390
d2-020,14,pre,340
d2-020,15,pre,360
d2-020,16,pre,260
d2-020,17,pre,200
d2-020,18,pre,360
d2-021,1,post,540
d2-021,2,post,405
d2-021,3,post,315
d2-021,4,post,390
d2-021,5,post,460
d2-021,6,post,475
d2-021,7,post,455
d2-021,8,post,145
d2-021,9,post,385
d2-021,10,post,495
d2-021,11,post,220
d2-021,12,post,310
d2-021,13,post,325
d2-021,14,post,475
d2-021,15,post,315
d2-021,16,post,255
d2-021,17,post,320
d2-021,18,post,530
d2-021,1,pre,505
d2-021,2,pre,490
d2-021,3,pre,440
d2-021,4,pre,405
d2-021,5,pre,430
