experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-007,1,34,2,16,670.8793,673.7573,,,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T034.csv,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T034.csv,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T034.csv,,,
1_tooluseinVR,d1-007,1,35,2,17,677.3423,680.3098,,,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T035.csv,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T035.csv,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T035.csv,,,
1_tooluseinVR,d1-007,1,36,2,18,683.2608,686.084,,,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T036.csv,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T036.csv,1_tooluseinVR/d1-007/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T036.csv,,,
1_tooluseinVR,d1-007,1,37,3,1,963.6422,969.0072,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T037.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T037.csv
1_tooluseinVR,d1-007,1,38,3,2,971.9598,976.071,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T038.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T038.csv
1_tooluseinVR,d1-007,1,39,3,3,979.0235,983.4999,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T039.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T039.csv
1_tooluseinVR,d1-007,1,40,3,4,986.4537,990.8188,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T040.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T040.csv
1_tooluseinVR,d1-007,1,41,3,5,993.7721,997.8038,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T041.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T041.csv
1_tooluseinVR,d1-007,1,42,3,6,1000.758,1005.656,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T042.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T042.csv
1_tooluseinVR,d1-007,1,43,3,7,1008.608,1012.854,,,,,,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T043.csv,1_tooluseinVR/d1-007/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T043.csv
