experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_gaze_data_location_0,manual_reach_vrpn_movement_location_0,manual_reach_openvr_movement_steamvr_location_0,manual_reach_manus_movement_manus_Bip01 R Hand_location_0,landmark_estimates_location_0,landmark_gaze_data_location_0,tool_reach_gaze_data_location_0,tool_reach_vrpn_tool_movement_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_manus_movement_manus_Bip01 R Hand_location_0
3_avatartooluse,d3-005,1,38,3,2,1832.123,1840.863,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T038.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T038.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T038.csv
3_avatartooluse,d3-005,1,39,3,3,1843.817,1852.29,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T039.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T039.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T039.csv
3_avatartooluse,d3-005,1,40,3,4,1855.245,1864.141,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T040.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T040.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T040.csv
3_avatartooluse,d3-005,1,41,3,5,1867.095,1878.723,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T041.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T041.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T041.csv
3_avatartooluse,d3-005,1,42,3,6,1881.677,1889.651,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T042.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T042.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T042.csv
3_avatartooluse,d3-005,1,43,3,7,1892.605,1899.336,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T043.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T043.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T043.csv
3_avatartooluse,d3-005,1,44,3,8,1902.29,1909.253,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T044.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T044.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T044.csv
3_avatartooluse,d3-005,1,45,3,9,1912.208,1921.703,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T045.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T045.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T045.csv
3_avatartooluse,d3-005,1,46,3,10,1924.657,1931.798,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T046.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T046.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T046.csv
3_avatartooluse,d3-005,1,47,3,11,1934.752,1948.401,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T047.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T047.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T047.csv
3_avatartooluse,d3-005,1,48,3,12,1976.988,1983.33,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T048.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T048.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T048.csv
3_avatartooluse,d3-005,1,49,3,13,1986.284,1992.736,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T049.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T049.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T049.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T049.csv
3_avatartooluse,d3-005,1,50,3,14,1995.691,2005.319,,,,,,,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_gaze_data_T050.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vrpn_tool_movement_T050.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T050.csv,3_avatartooluse/d3-005/S001/trackers/tool_reach/tool_reach_manus_movement_manus_Bip01 R Hand_T050.csv
