experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_ppt_tool_movement_location_0,tool_reach_eyeTrackingData_location_0
1_tooluseinVR,d1-008,1,33,2,15,861.118,865.4828,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T033.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T033.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T033.csv,,,
1_tooluseinVR,d1-008,1,34,2,16,868.436,872.4572,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T034.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T034.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T034.csv,,,
1_tooluseinVR,d1-008,1,35,2,17,875.4101,879.6319,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T035.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T035.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T035.csv,,,
1_tooluseinVR,d1-008,1,36,2,18,882.5859,886.9404,,,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T036.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T036.csv,1_tooluseinVR/d1-008/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T036.csv,,,
1_tooluseinVR,d1-008,1,37,3,1,1208.351,1214.795,,,,,,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T037.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T037.csv
1_tooluseinVR,d1-008,1,38,3,2,1217.75,1224.124,,,,,,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T038.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T038.csv
1_tooluseinVR,d1-008,1,39,3,3,1227.077,1233.654,,,,,,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T039.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T039.csv
1_tooluseinVR,d1-008,1,40,3,4,1236.606,1242.704,,,,,,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T040.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T040.csv
1_tooluseinVR,d1-008,1,41,3,5,1245.659,1252.022,,,,,,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T041.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T041.csv
1_tooluseinVR,d1-008,1,42,3,6,1254.976,1260.584,,,,,,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T042.csv,1_tooluseinVR/d1-008/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T042.csv
